total_bill,tip,gender,ordered_alc_bev,day,time,party_size
38.01,3.3801,Male,Yes,Sat,Dinner,4
26.41,1.9848,Female,Yes,Sat,Dinner,2
11.24,3.4129,Male,Yes,Sat,Dinner,2
48.27,2.1381,Male,No,Sat,Dinner,4
20.29,2.0902,Male,Yes,Sat,Dinner,2
13.81,3.9429,Male,Yes,Sat,Dinner,2
11.02,1.0307,Male,Yes,Sat,Dinner,2
18.29,2.2401,Male,Yes,Sat,Dinner,4
17.59,3.6772,Male,Yes,Sat,Dinner,3
20.08,5.2528,Male,No,Sat,Dinner,3
16.45,3.2592,Female,No,Sat,Dinner,2
3.07,3.3888,Female,Yes,Sat,Dinner,1
20.23,5.3268,Male,No,Sat,Dinner,2
15.01,3.2897,Male,Yes,Sat,Dinner,2
12.02,1.115,Male,Yes,Sat,Dinner,2
17.07,4.4632,Female,No,Sat,Dinner,3
26.86,5.1317,Female,Yes,Sat,Dinner,2
25.28,4.5456,Female,Yes,Sat,Dinner,2
14.73,1.6203,Female,No,Sat,Dinner,2
10.51,3.4202,Male,No,Sat,Dinner,2
17.92,2.727,Male,Yes,Sat,Dinner,2
27.2,3.3076,Male,No,Thur,Lunch,4
22.76,2.943,Male,No,Thur,Lunch,2
17.29,3.7042,Male,No,Thur,Lunch,2
19.44,1.9472,Male,Yes,Thur,Lunch,2
16.66,4.4698,Male,No,Thur,Lunch,2
10.07,4.7942,Female,No,Thur,Lunch,1
32.68,4.2862,Male,Yes,Thur,Lunch,2
15.98,2.32,Male,No,Thur,Lunch,2
34.83,3.1751,Female,No,Thur,Lunch,4
13.03,1.7159,Male,No,Thur,Lunch,2
18.28,2.1063,Male,No,Thur,Lunch,2
24.71,11.0162,Male,No,Thur,Lunch,2
21.16,3.3181,Male,No,Thur,Lunch,2
28.97,5.295,Male,Yes,Fri,Dinner,2
22.49,3.817,Male,Yes,Fri,Dinner,2
5.75,4.3364,Female,Yes,Fri,Dinner,2
16.32,3.439,Female,Yes,Fri,Dinner,2
22.75,2.3578,Female,Yes,Fri,Dinner,2
40.17,2.2896,Male,Yes,Fri,Dinner,4
27.28,4.096,Male,Yes,Fri,Dinner,2
12.03,3.8963,Male,Yes,Fri,Dinner,2
21.01,4.373,Male,Yes,Fri,Dinner,2
12.46,6.1166,Male,No,Fri,Dinner,2
11.35,3.9535,Female,Yes,Fri,Dinner,2
15.38,6.9634,Female,Yes,Fri,Dinner,2
44.3,3.811,Female,Yes,Sat,Dinner,3
22.42,3.709,Female,Yes,Sat,Dinner,2
20.92,2.6092,Female,No,Sat,Dinner,2
15.36,3.863,Male,Yes,Sat,Dinner,2
20.49,4.231,Male,Yes,Sat,Dinner,2
25.21,1.6569,Male,Yes,Sat,Dinner,2
18.24,4.3881,Male,No,Sat,Dinner,2
14.31,3.1288,Female,Yes,Sat,Dinner,2
14,2.1748,Male,No,Sat,Dinner,2
7.25,4.1658,Female,Yes,Sat,Dinner,1
38.07,2.1034,Male,Yes,Sun,Dinner,3
23.95,5.4311,Male,No,Sun,Dinner,2
25.71,2.13,Female,No,Sun,Dinner,3
17.31,2.1351,Female,No,Sun,Dinner,2
29.93,4.3742,Male,No,Sun,Dinner,4
10.65,2.1374,Female,No,Thur,Lunch,2
12.43,2.26,Female,No,Thur,Lunch,2
24.08,2.828,Female,No,Thur,Lunch,4
11.69,4.2053,Male,No,Thur,Lunch,2
13.42,3.3947,Female,No,Thur,Lunch,2
14.26,3.9418,Male,No,Thur,Lunch,2
15.95,3.7746,Male,No,Thur,Lunch,2
12.48,2.2727,Female,No,Thur,Lunch,2
29.8,2.4852,Female,No,Thur,Lunch,6
8.52,2.3006,Male,No,Thur,Lunch,2
14.52,5.4189,Female,No,Thur,Lunch,2
11.38,2.6327,Female,No,Thur,Lunch,2
22.82,7.0634,Male,No,Thur,Lunch,3
19.08,1.358,Male,No,Thur,Lunch,2
20.27,3.563,Female,No,Thur,Lunch,2
11.17,1.7318,Female,No,Thur,Lunch,2
12.26,1.5948,Female,No,Thur,Lunch,2
18.26,3.6928,Female,No,Thur,Lunch,2
8.51,2.4432,Female,No,Thur,Lunch,2
10.33,3.6142,Female,No,Thur,Lunch,2
14.15,2.0058,Female,No,Thur,Lunch,2
16,1.8484,Male,Yes,Thur,Lunch,2
13.16,2.6627,Female,No,Thur,Lunch,2
17.47,2.2018,Female,No,Thur,Lunch,2
34.3,3.3224,Male,No,Thur,Lunch,6
41.19,2.4802,Male,No,Thur,Lunch,5
27.05,3.1569,Female,No,Thur,Lunch,6
16.43,3.1553,Female,No,Thur,Lunch,2
8.35,1.252,Female,No,Thur,Lunch,2
18.64,1.8266,Female,No,Thur,Lunch,3
11.87,2.2718,Female,No,Thur,Lunch,2
9.78,2.2267,Male,No,Thur,Lunch,2
7.51,3.3801,Male,No,Thur,Lunch,2
14.07,1.9848,Male,Yes,Sun,Dinner,2
13.13,3.4129,Male,No,Sun,Dinner,2
17.26,2.1381,Male,Yes,Sun,Dinner,3
24.55,2.0902,Male,No,Sun,Dinner,4
19.77,3.9429,Male,Yes,Sun,Dinner,4
29.85,1.0307,Female,No,Sun,Dinner,5
48.17,2.2401,Male,No,Sun,Dinner,6
25,3.6772,Female,Yes,Sun,Dinner,4
13.39,5.2528,Female,No,Sun,Dinner,2
16.49,3.2592,Male,No,Sun,Dinner,4
21.5,3.3888,Male,No,Sun,Dinner,4
12.66,5.3268,Male,No,Sun,Dinner,2
16.21,3.2897,Female,Yes,Sun,Dinner,3
13.81,1.115,Male,Yes,Sun,Dinner,2
17.51,4.4632,Female,Yes,Sun,Dinner,2
24.52,5.1317,Male,No,Sun,Dinner,3
20.76,4.5456,Male,No,Sun,Dinner,2
31.71,1.6203,Male,No,Sun,Dinner,4
10.59,3.4202,Female,Yes,Sat,Dinner,2
10.63,2.727,Female,Yes,Sat,Dinner,2
50.81,3.3076,Male,Yes,Sat,Dinner,3
15.81,2.943,Male,Yes,Sat,Dinner,2
7.25,3.7042,Male,Yes,Sun,Dinner,2
31.85,1.9472,Male,Yes,Sun,Dinner,2
16.82,4.4698,Male,Yes,Sun,Dinner,2
32.9,4.7942,Male,Yes,Sun,Dinner,2
17.89,4.2862,Male,Yes,Sun,Dinner,2
14.48,2.32,Male,Yes,Sun,Dinner,2
9.6,3.1751,Female,Yes,Sun,Dinner,2
34.63,1.7159,Male,Yes,Sun,Dinner,2
34.65,2.1063,Male,Yes,Sun,Dinner,4
23.33,11.0162,Male,Yes,Sun,Dinner,2
45.35,3.3181,Male,Yes,Sun,Dinner,3
23.17,5.295,Male,Yes,Sun,Dinner,4
40.55,3.817,Male,Yes,Sun,Dinner,2
20.69,4.3364,Male,No,Sun,Dinner,5
20.9,3.439,Female,Yes,Sun,Dinner,3
30.46,2.3578,Male,Yes,Sun,Dinner,5
18.15,2.2896,Female,Yes,Sun,Dinner,3
23.1,4.096,Male,Yes,Sun,Dinner,3
15.69,3.8963,Male,Yes,Sun,Dinner,2
19.81,4.373,Female,Yes,Thur,Lunch,2
28.44,6.1166,Male,Yes,Thur,Lunch,2
15.48,3.9535,Male,Yes,Thur,Lunch,2
16.58,6.9634,Male,Yes,Thur,Lunch,2
7.56,3.811,Male,No,Thur,Lunch,2
10.34,3.709,Male,Yes,Thur,Lunch,2
43.11,2.6092,Female,Yes,Thur,Lunch,4
13,3.863,Female,Yes,Thur,Lunch,2
13.51,4.231,Male,Yes,Thur,Lunch,2
18.71,1.6569,Male,Yes,Thur,Lunch,3
12.74,4.3881,Female,Yes,Thur,Lunch,2
13,3.1288,Female,Yes,Thur,Lunch,2
16.4,2.1748,Female,Yes,Thur,Lunch,2
20.53,4.1658,Male,Yes,Thur,Lunch,4
16.47,2.1034,Female,Yes,Thur,Lunch,3
26.59,5.4311,Male,Yes,Sat,Dinner,3
38.73,2.13,Male,Yes,Sat,Dinner,4
24.27,2.1351,Male,Yes,Sat,Dinner,2
12.76,4.3742,Female,Yes,Sat,Dinner,2
30.06,2.1374,Male,Yes,Sat,Dinner,3
25.89,2.26,Male,Yes,Sat,Dinner,4
48.33,2.828,Male,No,Sat,Dinner,4
13.27,4.2053,Female,Yes,Sat,Dinner,2
28.17,3.3947,Female,Yes,Sat,Dinner,3
12.9,3.9418,Female,Yes,Sat,Dinner,2
28.15,3.7746,Male,Yes,Sat,Dinner,5
11.59,2.2727,Male,Yes,Sat,Dinner,2
7.74,2.4852,Male,Yes,Sat,Dinner,2
30.14,2.3006,Female,Yes,Sat,Dinner,4
12.16,5.4189,Male,Yes,Fri,Lunch,2
13.42,2.6327,Female,Yes,Fri,Lunch,2
8.58,7.0634,Male,Yes,Fri,Lunch,1
15.98,1.358,Female,No,Fri,Lunch,3
13.42,3.563,Male,Yes,Fri,Lunch,2
16.27,1.7318,Female,Yes,Fri,Lunch,2
10.09,1.5948,Female,Yes,Fri,Lunch,2
20.45,3.6928,Male,Yes,Sat,Dinner,4
13.28,2.4432,Male,No,Sat,Dinner,2
22.12,3.6142,Female,Yes,Sat,Dinner,2
24.01,2.0058,Male,Yes,Sat,Dinner,4
15.69,1.8484,Male,Yes,Sat,Dinner,3
11.61,2.6627,Male,No,Sat,Dinner,2
10.77,2.2018,Male,Yes,Sat,Dinner,2
15.53,3.3224,Male,Yes,Sat,Dinner,2
10.07,2.4802,Male,No,Sat,Dinner,2
12.6,3.1569,Male,Yes,Sat,Dinner,2
32.83,3.1553,Male,Yes,Sat,Dinner,2
35.83,1.252,Female,No,Sat,Dinner,3
29.03,1.8266,Male,Yes,Sat,Dinner,3
27.18,2.2718,Female,Yes,Sat,Dinner,2
22.67,2.2267,Male,Yes,Sat,Dinner,2
17.82,1.75,Male,No,Sat,Dinner,2
18.78,3,Female,No,Thur,Dinner,2
